Period (hr),Amplitude,Significance
14.00,671.77,908.50
14.02,720.54,909.54
14.03,779.17,910.58
14.05,805.22,911.62
14.07,781.28,912.66
14.08,797.14,913.70
14.10,849.23,914.74
14.12,837.44,915.78
14.13,809.34,916.82
14.15,775.95,917.86
14.17,734.91,918.90
14.18,727.15,919.94
14.20,780.99,920.98
14.22,807.05,922.02
14.23,763.24,923.06
14.25,725.48,924.10
14.27,669.73,925.14
14.28,681.80,926.18
14.30,783.76,927.22
14.32,805.52,928.26
14.33,771.36,929.30
14.35,780.02,930.34
14.37,804.40,931.38
14.38,774.55,932.42
14.40,738.84,933.45
14.42,737.48,934.49
14.43,754.03,935.53
14.45,821.06,936.57
14.47,799.79,937.61
14.48,774.83,938.65
14.50,807.80,939.69
14.52,857.20,940.73
14.53,826.51,941.77
14.55,835.00,942.81
14.57,745.89,943.85
14.58,772.38,944.89
14.60,755.16,945.93
14.62,740.02,946.97
14.63,776.78,948.01
14.65,827.65,949.05
14.67,827.61,950.09
14.68,830.38,951.12
14.70,875.81,952.16
14.72,836.40,953.20
14.73,779.96,954.24
14.75,749.50,955.28
14.77,766.35,956.32
14.78,731.57,957.36
14.80,777.50,958.40
14.82,782.60,959.44
14.83,726.74,960.48
14.85,674.73,961.51
14.87,700.71,962.55
14.88,752.89,963.59
14.90,803.46,964.63
14.92,755.33,965.67
14.93,797.61,966.71
14.95,852.24,967.75
14.97,848.22,968.79
14.98,857.49,969.83
15.00,855.47,970.86
15.02,765.85,971.90
15.03,804.90,972.94
15.05,800.24,973.98
15.07,819.99,975.02
15.08,854.71,976.06
15.10,832.66,977.10
15.12,847.16,978.14
15.13,849.40,979.17
15.15,863.01,980.21
15.17,907.08,981.25
15.18,938.45,982.29
15.20,961.55,983.33
15.22,862.32,984.37
15.23,788.55,985.41
15.25,779.25,986.44
15.27,755.34,987.48
15.28,740.96,988.52
15.30,785.35,989.56
15.32,836.53,990.60
15.33,835.14,991.64
15.35,807.32,992.67
15.37,769.04,993.71
15.38,758.57,994.75
15.40,846.85,995.79
15.42,898.33,996.83
15.43,920.68,997.87
15.45,974.72,998.90
15.47,942.82,999.94
15.48,860.05,1000.98
15.50,790.63,1002.02
15.52,745.41,1003.06
15.53,765.97,1004.09
15.55,775.04,1005.13
15.57,753.34,1006.17
15.58,734.99,1007.21
15.60,829.34,1008.25
15.62,909.95,1009.28
15.63,977.36,1010.32
15.65,1065.96,1011.36
15.67,1023.59,1012.40
15.68,1011.68,1013.44
15.70,1002.70,1014.47
15.72,955.95,1015.51
15.73,919.66,1016.55
15.75,833.12,1017.59
15.77,819.87,1018.63
15.78,776.46,1019.66
15.80,775.08,1020.70
15.82,841.13,1021.74
15.83,981.23,1022.78
15.85,1087.66,1023.81
15.87,1002.57,1024.85
15.88,943.34,1025.89
15.90,986.96,1026.93
15.92,999.68,1027.96
15.93,942.38,1029.00
15.95,859.10,1030.04
15.97,855.55,1031.08
15.98,848.27,1032.12
16.00,794.10,1033.15
16.02,793.56,1034.19
16.03,863.87,1035.23
16.05,881.66,1036.27
16.07,909.16,1037.30
16.08,956.39,1038.34
16.10,980.71,1039.38
16.12,1002.17,1040.41
16.13,1039.31,1041.45
16.15,1018.67,1042.49
16.17,1010.65,1043.53
16.18,938.10,1044.56
16.20,899.14,1045.60
16.22,875.07,1046.64
16.23,860.55,1047.68
16.25,917.38,1048.71
16.27,938.86,1049.75
16.28,911.45,1050.79
16.30,850.21,1051.83
16.32,810.95,1052.86
16.33,760.91,1053.90
16.35,761.07,1054.94
16.37,778.97,1055.97
16.38,816.47,1057.01
16.40,848.89,1058.05
16.42,891.33,1059.08
16.43,939.58,1060.12
16.45,959.28,1061.16
16.47,962.14,1062.20
16.48,991.09,1063.23
16.50,913.32,1064.27
16.52,872.19,1065.31
16.53,854.78,1066.34
16.55,846.96,1067.38
16.57,822.46,1068.42
16.58,865.28,1069.45
16.60,881.80,1070.49
16.62,899.59,1071.53
16.63,960.37,1072.56
16.65,1058.82,1073.60
16.67,1093.57,1074.64
16.68,1025.23,1075.68
16.70,983.43,1076.71
16.72,953.82,1077.75
16.73,914.58,1078.79
16.75,834.43,1079.82
16.77,794.51,1080.86
16.78,769.41,1081.90
16.80,785.86,1082.93
16.82,817.26,1083.97
16.83,872.08,1085.01
16.85,878.37,1086.04
16.87,814.40,1087.08
16.88,870.92,1088.11
16.90,905.43,1089.15
16.92,913.61,1090.19
16.93,863.90,1091.22
16.95,836.32,1092.26
16.97,911.83,1093.30
16.98,954.90,1094.33
17.00,967.09,1095.37
17.02,910.90,1096.41
17.03,844.85,1097.44
17.05,778.96,1098.48
17.07,805.70,1099.52
17.08,834.89,1100.55
17.10,864.32,1101.59
17.12,898.86,1102.62
17.13,919.22,1103.66
17.15,896.33,1104.70
17.17,885.55,1105.73
17.18,877.23,1106.77
17.20,856.62,1107.81
17.22,897.76,1108.84
17.23,939.51,1109.88
17.25,966.71,1110.91
17.27,1020.86,1111.95
17.28,1027.39,1112.99
17.30,994.45,1114.02
17.32,969.16,1115.06
17.33,1008.27,1116.09
17.35,998.59,1117.13
17.37,968.18,1118.17
17.38,972.15,1119.20
17.40,875.98,1120.24
17.42,866.62,1121.27
17.43,901.76,1122.31
17.45,898.69,1123.35
17.47,945.17,1124.38
17.48,997.73,1125.42
17.50,989.27,1126.45
17.52,973.65,1127.49
17.53,967.73,1128.53
17.55,966.72,1129.56
17.57,904.27,1130.60
17.58,891.88,1131.63
17.60,956.03,1132.67
17.62,1052.04,1133.71
17.63,1060.64,1134.74
17.65,986.19,1135.78
17.67,948.70,1136.81
17.68,890.55,1137.85
17.70,903.39,1138.88
17.72,924.08,1139.92
17.73,920.33,1140.96
17.75,890.45,1141.99
17.77,902.65,1143.03
17.78,950.49,1144.06
17.80,1003.04,1145.10
17.82,1028.61,1146.13
17.83,987.32,1147.17
17.85,983.29,1148.20
17.87,985.60,1149.24
17.88,977.70,1150.28
17.90,903.20,1151.31
17.92,851.26,1152.35
17.93,845.23,1153.38
17.95,880.03,1154.42
17.97,966.82,1155.45
17.98,982.04,1156.49
18.00,970.00,1157.52
18.02,943.34,1158.56
18.03,925.46,1159.59
18.05,887.01,1160.63
18.07,907.11,1161.66
18.08,915.15,1162.70
18.10,907.46,1163.74
18.12,971.66,1164.77
18.13,1051.03,1165.81
18.15,1100.51,1166.84
18.17,1078.30,1167.88
18.18,993.35,1168.91
18.20,927.28,1169.95
18.22,881.05,1170.98
18.23,876.91,1172.02
18.25,894.04,1173.05
18.27,900.99,1174.09
18.28,915.71,1175.12
18.30,952.96,1176.16
18.32,1011.88,1177.19
18.33,1033.77,1178.23
18.35,1078.74,1179.26
18.37,1087.71,1180.30
18.38,1024.85,1181.33
18.40,979.01,1182.37
18.42,955.99,1183.40
18.43,962.97,1184.44
18.45,980.61,1185.47
18.47,1000.46,1186.51
18.48,980.92,1187.54
18.50,1028.89,1188.58
18.52,1118.64,1189.61
18.53,1125.68,1190.65
18.55,1117.51,1191.68
18.57,1025.87,1192.72
18.58,1018.95,1193.75
18.60,1021.43,1194.79
18.62,1070.79,1195.82
18.63,1110.21,1196.86
18.65,1123.66,1197.89
18.67,1142.03,1198.93
18.68,1152.85,1199.96
18.70,1104.65,1201.00
18.72,1061.75,1202.03
18.73,1024.27,1203.06
18.75,990.10,1204.10
18.77,972.38,1205.13
18.78,1048.83,1206.17
18.80,1057.53,1207.20
18.82,1099.40,1208.24
18.83,1074.84,1209.27
18.85,1024.43,1210.31
18.87,989.09,1211.34
18.88,952.92,1212.38
18.90,931.53,1213.41
18.92,958.86,1214.45
18.93,966.84,1215.48
18.95,1039.01,1216.51
18.97,1066.50,1217.55
18.98,1040.43,1218.58
19.00,1027.40,1219.62
19.02,968.82,1220.65
19.03,976.04,1221.69
19.05,982.54,1222.72
19.07,976.09,1223.76
19.08,1057.54,1224.79
19.10,1105.11,1225.82
19.12,1137.69,1226.86
19.13,1170.95,1227.89
19.15,1183.60,1228.93
19.17,1177.22,1229.96
19.18,1125.35,1231.00
19.20,1083.70,1232.03
19.22,1009.93,1233.06
19.23,1001.94,1234.10
19.25,989.03,1235.13
19.27,1022.21,1236.17
19.28,1024.40,1237.20
