spider_id,Experiment ,ZT,CT,Monitor,Lights On,source_file,year,monitor,alive,LD_period_h,LD_pvalue_FAP,LD_power,LD_n_days,LD_significant,LD_entrained,DD_period_h,DD_pvalue_FAP,DD_power,DD_n_days,DD_significant
MW_100_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.718,1.9792249072472505e-23,0.0112,8.0,True,True,22.909,1.51531572745784e-62,0.0624,4.0,True
MW_101_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.577,3.44658763611419e-13,0.0071,8.0,True,True,24.059,1.00465792482006e-22,0.0256,4.0,True
MW_102_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.695,3.36377826236402e-63,0.0268,8.0,True,True,24.755,8.958364204496911e-49,0.0498,4.0,True
MW_103_,True,,21.0,1.0,1am-1pm,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.821,1.7079886126353299e-53,0.023,8.0,True,True,26.172,2.1777130024459198e-09,0.0129,4.0,True
MW_104_,True,,21.0,1.0,1am-1pm,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.996,2.30885706009618e-152,0.061,8.0,True,True,23.941,5.0923828412047096e-179,0.1619,4.0,True
MW_105_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.341,1.16476650205982e-70,0.0297,8.0,True,True,24.369,1.4755856300593299e-67,0.0669,4.0,True
MW_106_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.249,3.012268873261729e-26,0.0123,8.0,True,True,20.935,1.33642354678187e-56,0.057,4.0,True
MW_107_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.752,1.41885809675539e-39,0.0176,8.0,True,True,23.103,1.98972034757098e-06,0.01,4.0,True
MW_108_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.638,2.2535785270332798e-36,0.0163,8.0,True,True,24.577,2.5975907015749997e-20,0.0233,4.0,True
MW_10_,True,,1.0,1.0,8am-8pm,MW_2025-07-03_07-23_1.txt,,1.0,True,24.834,1.6312998365075899e-28,0.0132,8.0,True,True,24.442,2.18929414630874e-55,0.0167,12.0,True
MW_111_,,,,,,MW 0930-1011 2025 Monitor1.txt,,1.0,True,23.672,1.70280673381621e-191,0.0859,7.0,True,True,28.697,6.217791511777031e-11,0.0184,3.0,True
MW_112_,True,,13.0,1.0,8pm-8am,MW 0930-1011 2025 Monitor1.txt,,1.0,True,24.257,9.05258120204768e-74,0.0353,7.0,True,True,,,,3.0,False
MW_113_,True,,21.0,1.0,8pm-8am,MW 0930-1011 2025 Monitor1.txt,,1.0,True,23.664,5.1015640643118795e-55,0.0269,7.0,True,True,,,,3.0,False
